"Name","State","Notes","User","Tags","Created","Runtime","Sweep","embed_dim","generate_graph","hidden_channels","model","num_layers","heads","best_val_loss","graph_generation","train_loss","trained_epochs","val_loss"
"fine-sweep-462","finished","-","feik","","2023-09-03T05:01:35.000Z","1945","ca4ndneu","5","200","128","ResGnn","3","1","0.8153330232314913","max_dist","0.7692589779286839","88","0.8194373009704319"
"glowing-sweep-461","finished","-","feik","","2023-09-03T04:50:43.000Z","1516","ca4ndneu","5","200","128","ResGnn","2","1","0.7971515778025149","max_dist","0.7810101831128812","98","0.8162826560231536"
"denim-sweep-460","finished","-","feik","","2023-09-03T04:38:17.000Z","1392","ca4ndneu","5","200","128","ResGnn","1","1","0.8132085311554166","max_dist","0.7661941056505136","180","0.822082657587858"
"sweepy-sweep-459","finished","-","feik","","2023-09-03T04:24:55.000Z","1540","ca4ndneu","5","200","64","ResGnn","3","1","0.8100516600099948","max_dist","0.7815916233780887","124","0.889317043496686"
"faithful-sweep-458","finished","-","feik","","2023-09-03T04:12:38.000Z","1529","ca4ndneu","5","200","64","ResGnn","2","1","0.8251571171839718","max_dist","0.7678015494798597","187","0.8363600529700871"
"effortless-sweep-457","finished","-","feik","","2023-09-03T03:58:24.000Z","848","ca4ndneu","5","200","64","ResGnn","1","1","0.81104299282368","max_dist","0.7958400290598676","168","0.8195173821430433"
"lucky-sweep-456","finished","-","feik","","2023-09-03T03:29:14.000Z","3337","ca4ndneu","5","100","512","ResGnn","3","2","0.8165352014213683","max_dist","0.7323731369505184","58","0.8331533050348636"
"peach-sweep-455","finished","-","feik","","2023-09-03T03:21:23.000Z","2214","ca4ndneu","5","100","512","ResGnn","2","2","0.8199803660980798","max_dist","0.7614088775359561","57","0.8284912625320344"
"smart-sweep-454","finished","-","feik","","2023-09-03T03:00:26.000Z","1722","ca4ndneu","5","100","256","ResGnn","3","2","0.8218199939595852","max_dist","0.7466624919648795","58","0.8446869871361925"
"electric-sweep-451","finished","-","feik","","2023-09-03T01:51:29.000Z","5386","ca4ndneu","2","200","512","ResGnn","1","2","0.8171722912505681","max_dist","0.7635695502719105","105","0.8249207201682531"
"serene-sweep-450","finished","-","feik","","2023-09-03T01:24:21.000Z","5640","ca4ndneu","2","200","256","ResGnn","3","2","0.8242522303765941","max_dist","0.7386424414982226","64","0.8319209257604576"
"atomic-sweep-449","finished","-","feik","","2023-09-03T01:02:12.000Z","2949","ca4ndneu","2","200","256","ResGnn","2","2","0.8485657816347869","max_dist","0.8053033451710079","43","0.8586892634041224"
"lilac-sweep-448","finished","-","feik","","2023-09-03T00:47:14.000Z","2220","ca4ndneu","2","200","256","ResGnn","1","2","0.818729507404825","max_dist","0.7903957064682838","75","0.8213211377147629"
"mild-sweep-447","finished","-","feik","","2023-09-03T00:03:25.000Z","3521","ca4ndneu","2","200","128","ResGnn","3","2","0.825342391696372","max_dist","0.7601762744487744","85","0.8382082981083233"
"worldly-sweep-446","finished","-","feik","","2023-09-03T00:02:37.000Z","2671","ca4ndneu","2","200","128","ResGnn","2","2","0.8262162996375042","max_dist","0.7782238364345215","96","0.863063746997019"
"morning-sweep-445","finished","-","feik","","2023-09-02T23:35:28.000Z","1672","ca4ndneu","2","200","128","ResGnn","1","2","0.8132434428916148","max_dist","0.7966144584931468","117","0.8235357219051467"
"snowy-sweep-444","finished","-","feik","","2023-09-02T23:25:26.000Z","2225","ca4ndneu","2","200","64","ResGnn","3","2","0.8194942820684712","max_dist","0.7598105085216239","100","0.8346937621063866"
"wild-sweep-443","finished","-","feik","","2023-09-02T23:08:19.000Z","1621","ca4ndneu","2","200","64","ResGnn","2","2","0.8324436546314375","max_dist","0.779780632888348","105","0.8374783221912007"
"azure-sweep-442","finished","-","feik","","2023-09-02T22:44:50.000Z","1402","ca4ndneu","2","200","64","ResGnn","1","2","0.8170958284332818","max_dist","0.7998176503018243","180","0.8338597562002099"
"stilted-sweep-441","finished","-","feik","","2023-09-02T21:42:39.000Z","6158","ca4ndneu","2","200","512","ResGnn","3","1","0.8226875962476015","max_dist","0.7645477211243106","73","0.8318986434239173"
"distinctive-sweep-440","finished","-","feik","","2023-09-02T21:33:32.000Z","4272","ca4ndneu","2","200","512","ResGnn","2","1","0.8310411338278427","max_dist","0.7599378009103611","77","0.8397599822447706"
"scarlet-sweep-439","finished","-","feik","","2023-09-02T21:08:38.000Z","2032","ca4ndneu","2","200","512","ResGnn","1","1","0.8240383219341987","max_dist","0.8046837729363142","66","0.8402405940496874"
"happy-sweep-438","finished","-","feik","","2023-09-02T20:44:25.000Z","2937","ca4ndneu","2","200","256","ResGnn","3","1","0.8352769483219493","max_dist","0.7670070968093591","66","0.8518414990704051"
"charmed-sweep-437","finished","-","feik","","2023-09-02T20:36:50.000Z","1902","ca4ndneu","2","200","256","ResGnn","2","1","0.8223625941238856","max_dist","0.7979678037670049","59","0.8443246679343724"
"ancient-sweep-436","finished","-","feik","","2023-09-02T20:20:36.000Z","1421","ca4ndneu","2","200","256","ResGnn","1","1","0.8220437290640217","max_dist","0.796295068683343","95","0.8367918200172455"
"breezy-sweep-435","finished","-","feik","","2023-09-02T19:59:09.000Z","2257","ca4ndneu","2","200","128","ResGnn","3","1","0.8343925304563621","max_dist","0.7953606562717391","106","0.8681837798107283"
"effortless-sweep-434","finished","-","feik","","2023-09-02T19:58:45.000Z","1302","ca4ndneu","2","200","128","ResGnn","2","1","0.8362468220970848","max_dist","0.7859573755501571","80","0.8522933320565658"
"jumping-sweep-433","finished","-","feik","","2023-09-02T19:44:52.000Z","826","ca4ndneu","2","200","128","ResGnn","1","1","0.8296708375333326","max_dist","0.7942053463158951","90","0.890414039937875"
"vocal-sweep-432","finished","-","feik","","2023-09-02T19:32:35.000Z","1587","ca4ndneu","2","200","64","ResGnn","3","1","0.8329101127598125","max_dist","0.8173912449407854","130","0.843789240164248"
"lunar-sweep-431","finished","-","feik","","2023-09-02T19:09:06.000Z","1404","ca4ndneu","2","200","64","ResGnn","2","1","0.8351208046490967","max_dist","0.772897187316336","170","0.8421654126860879"
"royal-sweep-430","finished","-","feik","","2023-09-02T18:55:08.000Z","831","ca4ndneu","2","200","64","ResGnn","1","1","0.8326393480357446","max_dist","0.791267361435029","163","0.8473483525717211"
"denim-sweep-429","finished","-","feik","","2023-09-02T18:54:23.000Z","3020","ca4ndneu","2","100","512","ResGnn","3","2","0.8253177428905201","max_dist","0.7881321029452163","50","0.8993595322601409"
"swept-sweep-428","finished","-","feik","","2023-09-02T18:24:06.000Z","1859","ca4ndneu","2","100","512","ResGnn","2","2","0.8376075178266985","max_dist","0.803781864359355","42","0.8530320012993492"
"polished-sweep-427","finished","-","feik","","2023-09-02T18:23:26.000Z","1851","ca4ndneu","2","100","512","ResGnn","1","2","0.8239475399137957","max_dist","0.7795875716548395","112","0.8423325262522038"
"swift-sweep-501","finished","-","feik","","2023-09-02T13:15:27.000Z","5840","ca4ndneu","10","200","256","ResGnn","3","2","0.8275112915887192","max_dist","0.7375974751196767","60","0.8358931272868583"
"revived-sweep-500","finished","-","feik","","2023-09-02T13:12:56.000Z","2849","ca4ndneu","2","1","64","ResGnn","3","1","0.8251494823708364","nearest_k","0.8050416387213476","159","0.8645778082576194"
"faithful-sweep-499","finished","-","feik","","2023-09-02T13:11:51.000Z","1418","ca4ndneu","2","1","64","ResGnn","2","1","0.83916749695073","nearest_k","0.817621515951011","86","0.8673478391330703"
"dazzling-sweep-498","finished","-","feik","","2023-09-02T13:10:49.000Z","1874","ca4ndneu","2","1","64","ResGnn","1","1","0.8355733626916003","nearest_k","0.8424156301582783","98","0.8390277045517571"
"lucky-sweep-487","finished","-","feik","","2023-09-02T13:03:39.000Z","2837","ca4ndneu","10","200","512","ResGnn","1","1","0.8005878080492435","max_dist","0.7866029013389659","57","0.808619221208595"
"fine-sweep-475","finished","-","feik","","2023-09-02T12:49:13.000Z","2823","ca4ndneu","10","100","512","ResGnn","1","2","0.7994809025361133","max_dist","0.7697578807640477","64","0.8066616631308092"
"lucky-sweep-473","finished","-","feik","","2023-09-02T12:36:38.000Z","2319","ca4ndneu","10","100","256","ResGnn","2","2","0.8187617117237197","max_dist","0.7668853492533426","60","0.8277939311129302"
"rare-sweep-472","finished","-","feik","","2023-09-02T12:34:21.000Z","1751","ca4ndneu","10","100","256","ResGnn","1","2","0.8126849427995946","max_dist","0.794082837866883","49","0.8214138596425414"
"polished-sweep-471","finished","-","feik","","2023-09-02T12:27:46.000Z","2700","ca4ndneu","10","100","128","ResGnn","3","2","0.8114000055629745","max_dist","0.7647643792371865","75","0.8264956228346693"
"clear-sweep-470","finished","-","feik","","2023-09-02T12:14:11.000Z","1343","ca4ndneu","10","100","128","ResGnn","2","2","0.8244424881671257","max_dist","0.8074989822929065","41","0.9057905076049532"
"eternal-sweep-469","finished","-","feik","","2023-09-02T12:11:34.000Z","2240","ca4ndneu","10","100","128","ResGnn","1","2","0.8168516926614663","max_dist","0.7593001922599387","127","0.8470170004565725"
"kind-sweep-468","finished","-","feik","","2023-09-02T12:10:44.000Z","3327","ca4ndneu","10","100","64","ResGnn","3","2","0.812859740511702","max_dist","0.7466538940497986","106","0.8185758986963114"
"easy-sweep-467","finished","-","feik","","2023-09-02T11:59:15.000Z","1705","ca4ndneu","10","100","64","ResGnn","2","2","0.8053145734688981","max_dist","0.7711040077239605","92","0.8197131647894034"
"likely-sweep-466","finished","-","feik","","2023-09-02T11:50:28.000Z","1416","ca4ndneu","10","100","64","ResGnn","1","2","0.8068784358473163","max_dist","0.7917085839548257","86","0.826209600169668"
"leafy-sweep-465","finished","-","feik","","2023-09-02T11:46:31.000Z","3755","ca4ndneu","10","100","512","ResGnn","3","1","0.8373757392992616","max_dist","0.7444515847544597","55","0.8394474298586487"
"helpful-sweep-464","finished","-","feik","","2023-09-02T11:39:42.000Z","1904","ca4ndneu","10","100","512","ResGnn","2","1","0.8199898163791701","max_dist","0.7708178556486455","40","0.8259269614935864"
"pretty-sweep-463","finished","-","feik","","2023-09-02T11:39:11.000Z","3301","ca4ndneu","10","100","512","ResGnn","1","1","0.8157082852638757","max_dist","0.7520678005072868","116","0.8246040036084624"
"ethereal-sweep-462","finished","-","feik","","2023-09-02T11:33:13.000Z","2246","ca4ndneu","10","100","256","ResGnn","3","1","0.8209663378862524","max_dist","0.7749661157920902","47","0.8384141562955653"
"dulcet-sweep-461","finished","-","feik","","2023-09-02T11:29:11.000Z","1798","ca4ndneu","10","100","256","ResGnn","2","1","0.8193640383807096","max_dist","0.7586143977896925","58","0.9589773638917524"
"sweepy-sweep-460","finished","-","feik","","2023-09-02T11:22:49.000Z","1008","ca4ndneu","10","100","256","ResGnn","1","1","0.8144050454904911","max_dist","0.7944725392177395","49","0.8625189751033255"
"fanciful-sweep-459","finished","-","feik","","2023-09-02T11:17:17.000Z","1984","ca4ndneu","10","100","128","ResGnn","3","1","0.8067320940993992","max_dist","0.7906799884204051","88","0.8675997162053708"
"absurd-sweep-458","finished","-","feik","","2023-09-02T11:16:11.000Z","1814","ca4ndneu","10","100","128","ResGnn","2","1","0.8148980999888168","max_dist","0.7751785922891657","88","0.9093733139188864"
"snowy-sweep-457","finished","-","feik","","2023-09-02T11:14:34.000Z","868","ca4ndneu","10","100","128","ResGnn","1","1","0.8051607110754775","max_dist","0.7939624420713913","76","0.8275010718658508"
"valiant-sweep-456","finished","-","feik","","2023-09-02T11:11:21.000Z","1663","ca4ndneu","10","100","64","ResGnn","3","1","0.8098090791890744","max_dist","0.7843559899099128","78","0.8181149373412604"
"devoted-sweep-455","finished","-","feik","","2023-09-02T11:02:55.000Z","1187","ca4ndneu","10","100","64","ResGnn","2","1","0.80612317563988","max_dist","0.7855389059814043","99","0.8071149677627172"
"mild-sweep-454","finished","-","feik","","2023-09-02T10:52:32.000Z","1477","ca4ndneu","10","100","64","ResGnn","1","1","0.8200701104793624","max_dist","0.7842551434962859","138","0.8377309901912222"
"dazzling-sweep-453","finished","-","feik","","2023-09-02T10:51:54.000Z","2469","ca4ndneu","10","50","512","ResGnn","3","2","0.8162721107128581","max_dist","0.7406125697981627","61","0.8439835583268418"
"super-sweep-452","finished","-","feik","","2023-09-02T10:49:54.000Z","1471","ca4ndneu","10","50","512","ResGnn","2","2","0.8212724317203869","max_dist","0.7581640147045451","60","0.8770689151975006"
"blooming-sweep-451","finished","-","feik","","2023-09-02T10:44:38.000Z","1885","ca4ndneu","10","50","512","ResGnn","1","2","0.7995318611619971","max_dist","0.7680376078217452","91","0.8010106386403322"
"neat-sweep-450","finished","-","feik","","2023-09-02T10:40:46.000Z","1826","ca4ndneu","10","50","256","ResGnn","3","2","0.8131858210318644","max_dist","0.7605944273031153","64","0.8231475337691929"
"bright-sweep-449","finished","-","feik","","2023-09-02T10:40:39.000Z","1330","ca4ndneu","10","50","256","ResGnn","2","2","0.8083366859100553","max_dist","0.7515746407473696","75","0.8569764990816003"
"rich-sweep-448","finished","-","feik","","2023-09-02T10:35:43.000Z","964","ca4ndneu","10","50","256","ResGnn","1","2","0.8088522300889841","max_dist","0.7849602915224997","82","0.8380979325931533"
"unique-sweep-447","finished","-","feik","","2023-09-02T10:33:56.000Z","1111","ca4ndneu","10","50","128","ResGnn","3","2","0.8158741381799751","max_dist","0.7671479812856095","68","0.8272818657720513"
"dry-sweep-446","finished","-","feik","","2023-09-02T10:30:51.000Z","819","ca4ndneu","10","50","128","ResGnn","2","2","0.8129477431887223","max_dist","0.7596247363806148","80","0.837230401689356"
