bins,Average_SD_best_GraphSage_small,Average_SD_best_ResGnn_small,Average_SD_best_GlobalInfo_small,Average_SD_best_GraphSage_large,Average_SD_best_ResGnn_large,Average_SD_best_GlobalInfo_large,Average_SD_ensemble
-4.5,1.5651767253875732,1.5457695722579956,1.5046544075012207,1.683799147605896,1.7311307191848757,1.639857053756714,0.8033511378616421
-4.0,1.5442373752593994,1.543094277381897,1.5010135173797607,1.6520271301269531,1.7027883529663086,1.5984069108963013,0.848032378843049
-3.5,1.5134886503219604,1.5324506759643557,1.487471103668213,1.6109460592269895,1.660235047340393,1.5814942121505735,0.8389443010860147
-3.0,1.461991786956787,1.5046336650848389,1.4626864194869995,1.563089370727539,1.6188747882843018,1.530861735343933,0.7806387879419212
-2.5,1.4059721231460571,1.4766929149627686,1.4252676963806152,1.5036972761154177,1.5613032579421997,1.4799529314041138,0.7835419135722042
-2.0,1.3540117740631104,1.4329593181610107,1.3943105936050415,1.4499573707580566,1.5047615766525269,1.4314002990722656,0.7479114089493182
-1.5,1.3341201543807983,1.4185110330581665,1.3833783864974976,1.416729211807251,1.4680438041687012,1.4007132053375244,0.7239007845780028
-1.0,1.3053711652755735,1.3939735889434814,1.364750862121582,1.3817946910858154,1.433901309967041,1.3754091262817385,0.7256751594088189
-0.5,1.2736737728118896,1.367992281913757,1.338051199913025,1.3521153926849363,1.4007500410079956,1.3494316339492798,0.7299387918242501
0.0,1.2359131574630735,1.3329479694366455,1.3123183250427246,1.315037965774536,1.359056830406189,1.319870114326477,0.75757876063955
0.5,1.21935772895813,1.3145806789398191,1.298830270767212,1.2946784496307373,1.3360193967819214,1.3100881576538086,0.7424321142084526
1.0,1.2426975965499878,1.3278594017028809,1.3148714303970337,1.312879204750061,1.3465595245361328,1.333982229232788,0.748420958145557
1.5,1.2239253520965576,1.3095158338546753,1.2995458841323853,1.2918460369110107,1.3205130100250244,1.3150168657302856,0.7292946801807664
2.0,1.215367078781128,1.288095474243164,1.3004980087280271,1.284101486206055,1.3099870681762695,1.3162211179733276,0.7450952068213241
