bins,Average_CRPS_best_GraphSage_small,Average_CRPS_best_ResGnn_small,Average_CRPS_best_GlobalInfo_small,Average_CRPS_best_GraphSage_large,Average_CRPS_best_ResGnn_large,Average_CRPS_best_GlobalInfo_large,Average_CRPS_ensemble
-8.5,2.386244773864746,2.7632806301116943,3.0106406211853027,1.8876315355300903,1.8747084140777588,2.0076045989990234,2.4440566195751297
-8.0,2.3670711517333984,2.6144397258758545,2.959814071655273,1.8397537469863887,1.815507888793945,1.909707307815552,2.2965320616773366
-7.5,2.1551408767700195,2.460331439971924,2.7562851905822754,1.6703858375549316,1.608751654624939,1.743164300918579,2.139751828959054
-7.0,2.0084428787231445,2.21368145942688,2.507809638977051,1.5983465909957886,1.538406491279602,1.6502248048782349,2.0653795343401993
-6.5,1.8821027278900144,2.0344698429107666,2.3856656551361084,1.5368280410766602,1.4798810482025146,1.5645692348480225,1.8039431757851383
-6.0,1.7709766626358032,1.9397717714309688,2.1995887756347656,1.4625524282455444,1.4304355382919312,1.542188048362732,1.7217132320053286
-5.5,1.6364920139312744,1.7316676378250122,1.9623769521713257,1.3875346183776855,1.3702348470687866,1.4436564445495603,1.5657243618528598
-5.0,1.4490338563919067,1.5499106645584106,1.7314807176589966,1.271420955657959,1.2330517768859863,1.3120009899139404,1.413196311440481
-4.5,1.3254923820495603,1.3926899433135986,1.5178011655807495,1.191015124320984,1.157680869102478,1.2039510011672974,1.26244444621475
-4.0,1.2464122772216797,1.301520586013794,1.3795595169067385,1.138377070426941,1.1168444156646729,1.169660568237305,1.2464319032234497
-3.5,1.212280035018921,1.226507544517517,1.2985893487930298,1.1018553972244265,1.083037257194519,1.0909086465835571,1.1215250040869673
-3.0,1.1240108013153076,1.1261590719223022,1.1698098182678225,1.036200761795044,1.0152875185012815,1.0210403203964231,1.0915135697340217
-2.5,1.0492894649505615,1.0482213497161863,1.0793676376342771,0.9667751789093018,0.9352045655250548,0.9263402223587036,1.0534434127176957
-2.0,1.0330170392990112,1.0317025184631348,1.0500946044921875,0.9347370862960817,0.9179631471633912,0.888566255569458,1.0534657733147728
-1.5,0.9268608689308168,0.9452718496322632,0.9413632750511168,0.862399697303772,0.8488534092903137,0.811606764793396,1.025164359904299
-1.0,0.8584126234054565,0.8843332529067993,0.8749184608459473,0.7949325442314148,0.782941460609436,0.7523121237754822,0.999940695400057
-0.5,0.8071918487548828,0.8318421840667725,0.8233603239059448,0.7537887692451477,0.7556192278862,0.7240140438079834,0.9888789110410922
0.0,0.7930119633674622,0.8073544502258301,0.8115935921669006,0.7342854142189026,0.7307834625244141,0.7054058313369751,1.0078437369914486
0.5,0.7686475515365601,0.7853071093559265,0.7900093793869019,0.7128740549087524,0.71242356300354,0.6943458914756775,1.0291055192501433
1.0,0.7726383805274963,0.789121150970459,0.789975643157959,0.7141770720481873,0.7193301320075989,0.7055148482322693,1.0843670529467826
1.5,0.7738889455795288,0.7771095633506775,0.7795544862747192,0.7100716829299927,0.721796989440918,0.7101751565933228,1.1412062458266954
2.0,0.7692723274230957,0.7785755395889282,0.7687775492668152,0.7172874808311462,0.7265090346336365,0.716285228729248,1.1699368470283207
2.5,0.7509084939956665,0.7596861720085144,0.7533546686172485,0.707230806350708,0.717201828956604,0.7096557021141052,1.1564463115960621
3.0,0.7499067783355713,0.7595840096473694,0.7551192045211792,0.7090741991996765,0.718381404876709,0.7136270403862,1.173039526619558
3.5,0.7635433077812195,0.768185019493103,0.7585555911064148,0.72988361120224,0.7303003668785095,0.7228100895881653,1.1765048733705479
4.0,0.7723150253295898,0.7646796107292175,0.7664830088615417,0.7361558079719543,0.739025890827179,0.7308331727981567,1.1581479471730722
4.5,0.7701910138130188,0.7679111957550049,0.7587144374847412,0.7257624268531799,0.7255676984786987,0.7164137959480286,1.135894225518382
5.0,0.7692938446998596,0.7629358768463135,0.7600598335266113,0.7237464785575867,0.7222626209259033,0.7098055481910706,1.1360122881638444
5.5,0.7694418430328369,0.7678042650222778,0.7680949568748474,0.7233932614326477,0.7258235812187195,0.7176597118377686,1.1070997103759708
6.0,0.7753574848175049,0.7720661163330078,0.768096923828125,0.7224298715591431,0.7237852811813354,0.71706223487854,1.1558229151200576
6.5,0.8090363144874573,0.812118649482727,0.8040089011192322,0.7476519346237183,0.7519999146461487,0.7422553300857544,1.1994982202991877
7.0,0.7955325841903687,0.8006571531295776,0.8041332364082336,0.730489194393158,0.7375134229660034,0.7274398803710938,1.2070305451378833
7.5,0.7933520078659058,0.8039048910140991,0.7981342077255249,0.7359293699264526,0.7405794858932495,0.7212935090065002,1.243124546396524
8.0,0.8101218342781067,0.8167981505393982,0.8121586441993713,0.7473257780075073,0.7478722333908081,0.7349901795387268,1.277831094581917
8.5,0.8084651827812195,0.8161032199859619,0.8186308741569519,0.7371200323104858,0.7322623133659363,0.7329674363136292,1.3030716642437266
9.0,0.7925326824188232,0.7946928143501282,0.8007486462593079,0.7235221862792969,0.7094137668609619,0.7157585024833679,1.3049707829180786
9.5,0.8027217388153076,0.8018798232078552,0.8070961833000183,0.7318803668022156,0.7229932546615601,0.7234188318252563,1.3181837302731036
10.0,0.7989453673362732,0.7933042049407959,0.7994096875190735,0.7259278297424316,0.7123697400093079,0.7197670936584473,1.316943829615183
10.5,0.8136255145072937,0.8161758780479431,0.7980420589447021,0.7307271957397461,0.7172297835350037,0.7289018630981445,1.2998944432244917
11.0,0.8093127608299255,0.8219432234764099,0.8010470867156982,0.7389172911643982,0.7258476614952087,0.732060432434082,1.3425301656240471
11.5,0.7557634115219116,0.7647295594215393,0.755799412727356,0.7013590335845947,0.690782904624939,0.6963034272193909,1.223076812967454
12.0,0.7436925172805786,0.7652046084403992,0.7404029369354248,0.7011901140213013,0.6910174489021301,0.6946870684623718,1.1676068293496347
12.5,0.7108025550842285,0.7249311208724976,0.7156347632408142,0.6775405406951904,0.6671856045722961,0.6658775210380554,1.0712749489895284
13.0,0.6971018314361572,0.7068877220153809,0.7003055214881897,0.662145733833313,0.6579663753509521,0.659076988697052,1.0393162064508752
13.5,0.6929359436035156,0.70038241147995,0.7013956308364868,0.6618598699569702,0.6590012311935425,0.6555361151695251,1.0052075734786055
14.0,0.6687729954719543,0.6807836294174194,0.6736315488815308,0.6517825722694397,0.646064817905426,0.6405231356620789,0.9775392888941254
14.5,0.6837932467460632,0.6917605996131897,0.6857776045799255,0.657774031162262,0.650344967842102,0.6456959843635559,0.9700296634519836
15.0,0.6765944957733154,0.675304651260376,0.6815102696418762,0.6514548063278198,0.6379162073135376,0.6295766830444336,0.9445225208918091
15.5,0.6868188381195068,0.6858677268028259,0.7034838199615479,0.6554659605026245,0.6414973735809326,0.6358051896095276,0.9440875675850119
16.0,0.6941052079200745,0.6850602030754089,0.7082376480102539,0.6633706092834473,0.6384234428405762,0.6412452459335327,0.934058545526178
16.5,0.7029772996902466,0.6972826719284058,0.7288757562637329,0.6675415635108948,0.645495593547821,0.6499165296554565,0.9342134937839963
17.0,0.7357180714607239,0.725910484790802,0.7714337110519409,0.7059947848320007,0.6736192107200623,0.6825227737426758,0.9706060515638998
17.5,0.7562959790229797,0.7485882043838501,0.7992303967475891,0.7214556336402893,0.6858078837394714,0.6955663561820984,0.939363167162852
18.0,0.8000390529632568,0.7885175347328186,0.8303132057189941,0.7590755224227905,0.7194549441337585,0.7297939658164978,0.9909677504447718
18.5,0.8288885951042175,0.8250235915184021,0.8736161589622498,0.789350688457489,0.7405238747596741,0.7560369968414307,1.0533713231858879
19.0,0.8838074207305908,0.8782798647880554,0.9316933751106262,0.8547161221504211,0.7823625206947327,0.8051578998565674,1.0908024655664543
19.5,0.9481407999992372,0.9352445006370544,0.9884828925132751,0.9182377457618712,0.8211037516593933,0.8367950916290283,1.1106322380650029
20.0,1.0124802589416504,1.0003551244735718,1.049347758293152,0.9864857792854308,0.8889742493629456,0.9002942442893982,1.175538111715759
20.5,1.132588505744934,1.1171000003814695,1.2282397747039795,1.1138545274734497,0.9809685349464417,0.9817041754722596,1.2066847792971451
21.0,1.0933854579925537,1.1249637603759766,1.1802619695663452,1.1144744157791138,0.9644027948379515,0.9389798045158386,1.3266408424738723
21.5,1.2402271032333374,1.222944974899292,1.3186931610107422,1.296323537826538,1.1375614404678345,1.055809497833252,1.479213707144601
22.0,1.4855600595474243,1.5272222757339478,1.5872817039489746,1.437252402305603,1.2682613134384155,1.1821823120117188,1.807445550926364
22.5,1.5196775197982788,1.567923665046692,1.6492239236831665,1.50554621219635,1.3399304151535034,1.1707286834716797,1.9240914670671734
23.0,1.6546584367752075,1.7713253498077393,1.8009713888168335,1.6335089206695557,1.482524037361145,1.237042784690857,2.2826501126228496
23.5,1.9997117519378664,2.15346360206604,2.1140716075897217,1.884796023368836,1.6974385976791382,1.494586944580078,2.8419005609784804
24.0,2.459289073944092,2.622713088989258,2.6946253776550293,2.349462985992432,2.049377679824829,1.7577589750289917,3.4394374985694887
24.5,2.5839195251464844,2.671177387237549,2.8615036010742188,2.5189526081085205,2.177032470703125,1.91418719291687,3.3325405500932175
25.0,3.095769166946411,3.372043371200561,3.286561250686645,3.024857521057129,2.812666893005371,2.502390623092652,3.8679850619845926
25.5,2.713838577270508,3.1189393997192383,3.0730972290039062,3.206770181655884,2.683335065841675,2.552264213562012,4.156834660847982
26.0,4.130797863006592,4.509921550750732,4.324875831604004,4.473638534545898,4.11266565322876,3.6945881843566895,4.989873783874511
26.5,4.627318859100342,5.008682727813721,5.036693572998047,4.1572113037109375,3.80562973022461,2.431872606277466,5.2915976562500004
27.0,5.094515323638916,5.313237190246582,4.995224952697754,5.57895040512085,5.2089691162109375,4.7087907791137695,6.250025617980956
